"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 06 17:05:45 GMT 2021","Mon Dec 06 17:05:46 GMT 2021","860","","example to-do app","","","","can add new todo items",""
"passed","Mon Dec 06 17:05:46 GMT 2021","Mon Dec 06 17:05:46 GMT 2021","613","","example to-do app","","","","can check off an item as completed",""
"passed","Mon Dec 06 17:05:46 GMT 2021","Mon Dec 06 17:05:47 GMT 2021","675","example to-do app","with a checked task","","","","can filter for uncompleted tasks",""
"passed","Mon Dec 06 17:05:48 GMT 2021","Mon Dec 06 17:05:48 GMT 2021","601","example to-do app","with a checked task","","","","can delete all completed tasks",""
"passed","Mon Dec 06 17:05:47 GMT 2021","Mon Dec 06 17:05:48 GMT 2021","693","example to-do app","with a checked task","","","","can filter for completed tasks",""
"passed","Mon Dec 06 17:05:43 GMT 2021","Mon Dec 06 17:05:45 GMT 2021","1612","","example to-do app","","","","displays two todo items by default",""
