"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Dec 09 12:24:45 GMT 2021","Thu Dec 09 12:24:46 GMT 2021","815","example to-do app","with a checked task","","","","can filter for completed tasks",""
"passed","Thu Dec 09 12:24:45 GMT 2021","Thu Dec 09 12:24:45 GMT 2021","585","example to-do app","with a checked task","","","","can filter for uncompleted tasks",""
"passed","Thu Dec 09 12:24:43 GMT 2021","Thu Dec 09 12:24:44 GMT 2021","838","","example to-do app","","","","can add new todo items",""
"passed","Thu Dec 09 12:24:44 GMT 2021","Thu Dec 09 12:24:45 GMT 2021","476","","example to-do app","","","","can check off an item as completed",""
"passed","Thu Dec 09 12:24:46 GMT 2021","Thu Dec 09 12:24:47 GMT 2021","649","example to-do app","with a checked task","","","","can delete all completed tasks",""
"passed","Thu Dec 09 12:24:42 GMT 2021","Thu Dec 09 12:24:43 GMT 2021","1438","","example to-do app","","","","displays two todo items by default",""
