"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 03 19:12:52 GMT 2021","Fri Dec 03 19:12:54 GMT 2021","1912","","example to-do app","","","","displays two todo items by default",""
"passed","Fri Dec 03 19:12:55 GMT 2021","Fri Dec 03 19:12:56 GMT 2021","742","example to-do app","with a checked task","","","","can filter for uncompleted tasks",""
"passed","Fri Dec 03 19:12:56 GMT 2021","Fri Dec 03 19:12:57 GMT 2021","848","example to-do app","with a checked task","","","","can filter for completed tasks",""
"passed","Fri Dec 03 19:12:55 GMT 2021","Fri Dec 03 19:12:55 GMT 2021","557","","example to-do app","","","","can check off an item as completed",""
"passed","Fri Dec 03 19:12:57 GMT 2021","Fri Dec 03 19:12:58 GMT 2021","596","example to-do app","with a checked task","","","","can delete all completed tasks",""
"passed","Fri Dec 03 19:12:54 GMT 2021","Fri Dec 03 19:12:55 GMT 2021","851","","example to-do app","","","","can add new todo items",""
